Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Bull, C.J., Bell, J.A., Murphy, N., Sanderson, E., Davey Smith, G., Timpson, N.J., Banbury, B.L., Albanes, D., Berndt, S.I., Bézieau, S., Bishop, D.T., Brenner, H., Buchanan, D.D., Burnett-Hartman, A., Casey, G., Castellví-Bel, S., Chan, A.T., Chang-Claude, J., Cross, A.J., de la Chapelle, A., Figueiredo, J.C., Gallinger, S.J., Gapstur, S.M., Giles, G.G., Gruber, S.B., Gsur, A., Hampe, J., Hampel, H., Harrison, T.A., Hoffmeister, M., Hsu, L., Huang, W.-Y., Huyghe, J.R., Jenkins, M.A., Joshu, C.E., Keku, T.O., Kühn, T., Kweon, S.-S., Le Marchand, L., Li, C.I., Li, L., Lindblom, A., Martín, V., May, A.M., Milne, R.L., Moreno, V., Newcomb, P.A., Offit, K., Ogino, S., Phipps, A.I., Platz, E.A., Potter, J.D., Qu, C., Quirós, J.R., Rennert, G., Riboli, E., Sakoda, L.C., Schafmayer, C., Schoen, R.E., Slattery, M.L., Tangen, C.M., Tsilidis, K.K., Ulrich, C.M., van Duijnhoven, F.J.B., van Guelpen, B., Visvanathan, K., Vodicka, P., Vodickova, L., Wang, H., White, E., Wolk, A., Woods, M.O., Wu, A.H., Campbell, P.T., Zheng, W., Peters, U., Vincent, E.E., Gunter, M.J.",56744256700;55762450800;7103396991;56707095100;57220145221;35355373400;57197782229;7006558522;8551151700;6602698816;57211357617;7201832825;7203007859;23972215700;57216592266;57193218784;56446134500;7006409966;7202735866;35393340400;34569113100;34975072000;7004025701;57193910834;7101800850;6603891904;7006423541;7102196402;57196615376;12798158700;57200496758;56447353700;23009108400;55507588400;8348390300;6603754088;55232553200;7003824608;7006229986;35234072100;57303833600;7005502801;57627092300;23486114900;36640290600;7103038363;57214767284;57214986390;13805134300;11139664000;7004399130;35380121900;55536414300;7003668026;7005198718;57191801446;6506900644;15127848400;7102066725;57200136681;7003733464;12789243400;35411299700;9743317700;8616366600;7004522568;7004841464;7003998960;13205725500;57208460351;7005802145;57210925326;57224753209;8267088400;56393517800;55568520917;37103013900;57212525623;,"Adiposity, metabolites, and colorectal cancer risk: Mendelian randomization study",2020,BMC Medicine,18,1,396,,,,79,10.1186/s12916-020-01855-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097610675&doi=10.1186%2fs12916-020-01855-9&partnerID=40&md5=09c802846b12e18249c07468667887ec,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85097610675
"van de Vegte, Y.J., Said, M.A., Rienstra, M., van der Harst, P., Verweij, N.",57201005711;7103287068;8858826600;57217708796;57193816845;,Genome-wide association studies and Mendelian randomization analyses for leisure sedentary behaviours,2020,Nature Communications,11,1,1770,,,,79,10.1038/s41467-020-15553-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083806297&doi=10.1038%2fs41467-020-15553-w&partnerID=40&md5=f27d1ba08ba3e106346d8fe695cda6fe,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85083806297
"Rees, J.M.B., Wood, A.M., Dudbridge, F., Burgess, S.",57195989507;10040876400;6602743665;37080302300;,Robust methods in Mendelian randomization via penalization of heterogeneous causal estimates,2019,PLoS ONE,14,9,e0222362,,,,79,10.1371/journal.pone.0222362,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072573660&doi=10.1371%2fjournal.pone.0222362&partnerID=40&md5=b45a9240a3620c66912fc8640bb9cf27,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85072573660
"Haas, M.E., Aragam, K.G., Emdin, C.A., Bick, A.G., Hemani, G., Davey Smith, G., Kathiresan, S.",57201731855;35387449800;55558417300;55979721500;57207869708;57220145221;57213379063;,Genetic Association of Albuminuria with Cardiometabolic Disease and Blood Pressure,2018,American Journal of Human Genetics,103,4,,461,473,,79,10.1016/j.ajhg.2018.08.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054446030&doi=10.1016%2fj.ajhg.2018.08.004&partnerID=40&md5=3ec158803fc225a424e9053bde70d5fc,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85054446030
"Larsson, S.C., Scott, R.A., Traylor, M., Langenberg, C.C., Hindy, G., Melander, O., Orho-Melander, M., Seshadri, S., Wareham, N.J., Markus, H.S.",7202349296;56489197300;55290620300;58062162200;50561290100;7004120938;6701619781;57211936432;34668706300;7102054556;,"Type 2 diabetes, glucose, insulin, BMI, and ischemic stroke subtypes: Mendelian randomization study",2017,Neurology,89,5,,454,460,,79,10.1212/WNL.0000000000004173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026552471&doi=10.1212%2fWNL.0000000000004173&partnerID=40&md5=fdd6aa639cca0afa1c7d9e558a518b24,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85026552471
"Cornish, A.J., Law, P.J., Timofeeva, M., Palin, K., Farrington, S.M., Palles, C., Jenkins, M.A., Casey, G., Brenner, H., Chang-Claude, J., Hoffmeister, M., Kirac, I., Maughan, T., Brezina, S., Gsur, A., Cheadle, J.P., Aaltonen, L.A., Tomlinson, I., Dunlop, M.G., Houlston, R.S.",57200562358;57155941900;24340280000;8543929900;56540903100;57195432073;55507588400;7103102611;7201832825;7006409966;12798158700;9742723700;7004025232;57194042880;6603891904;57194781109;7005845446;57216111061;7101629955;34569730700;,Modifiable pathways for colorectal cancer: a mendelian randomisation analysis,2020,The Lancet Gastroenterology and Hepatology,5,1,,55,62,,77,10.1016/S2468-1253(19)30294-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076102832&doi=10.1016%2fS2468-1253%2819%2930294-8&partnerID=40&md5=3537c02bc2d6c5903f37be551123cdf2,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85076102832
"Henry, A., Katsoulis, M., Masi, S., Fatemifar, G., Denaxas, S., Acosta, D., Garfield, V., Dale, C.E.",57210965841;56442457900;57210724180;36484367300;54902667300;12752676200;56414855500;57193912536;,"The relationship between sleep duration, cognition and dementia: A Mendelian randomization study",2019,International Journal of Epidemiology,48,3,,849,860,,77,10.1093/ije/dyz071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072057658&doi=10.1093%2fije%2fdyz071&partnerID=40&md5=4309b2654ca3bc7454d5fb7216773abe,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85072057658
"Carreras-Torres, R., Johansson, M., Haycock, P.C., Wade, K.H., Relton, C.L., Martin, R.M., Smith, G.D., Albanes, D., Aldrich, M.C., Andrew, A., Arnold, S.M., Bickeböller, H., Bojesen, S.E., Brunnström, H., Manjer, J., Brüske, I., Caporaso, N.E., Chen, C., Christiani, D.C., Christian, W.J., Doherty, J.A., Duell, E.J., Field, J.K., Davies, M.P.A., Marcus, M.W., Goodman, G.E., Grankvist, K., Haugen, A., Hong, Y.-C., Kiemeney, L.A., Van Der Heijden, E.H.F.M., Kraft, P., Johansson, M.B., Lam, S., Landi, M.T., Lazarus, P., Le Marchand, L., Liu, G., Melander, O., Park, S.L., Rennert, G., Risch, A., Haura, E.B., Scelo, G., Zaridze, D., Mukeriya, A., Savić, M., Lissowska, J., Swiatkowska, B., Janout, V., Holcatova, I., Mates, D., Schabath, M.B., Shen, H., Tardon, A., Teare, M.D., Woll, P., Tsao, M.-S., Wu, X., Yuan, J.-M., Hung, R.J., Amos, C.I., McKay, J., Brennan, P.",36069028100;56447900600;35196088100;54581733500;6603403494;55689388800;35354080500;7006558522;7006614142;7102640658;35298537600;6603947964;6506527936;6506796532;6604096017;55960656900;35376837100;57026486000;35397343500;7006318256;57203056959;7004300753;57647345000;12771675200;40461951100;7202788412;7005732905;7006262864;7403393231;57200887465;35106162800;57210773481;56403984400;55193690600;7005278728;57204253246;7006229986;55875098600;7004120938;25641822800;7005198718;7003820272;6603533598;57212671682;7005676681;6506730067;24830640100;6602685552;16643856300;55611433200;57202964464;8987036800;6603452555;7404522651;6602602266;57206501930;7005024157;7102152241;8236942400;57203976010;7102804740;57203053825;7201891825;57217586210;,"Obesity, metabolic factors and risk of different histological types of lung cancer: A Mendelian randomization study",2017,PLoS ONE,12,6,e0177875,,,,77,10.1371/journal.pone.0177875,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020430366&doi=10.1371%2fjournal.pone.0177875&partnerID=40&md5=e0d8c01fb4e7b827332e2d8bd22493f4,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85020430366
"Gill, D., Efstathiadou, A., Cawood, K., Tzoulaki, I., Dehghan, A.",56890453400;57210793629;57211826121;8703141300;16023891700;,Education protects against coronary heart disease and stroke independently of cognitive function: Evidence from Mendelian randomization,2019,International Journal of Epidemiology,48,5,,1468,1477,,76,10.1093/ije/dyz200,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075090413&doi=10.1093%2fije%2fdyz200&partnerID=40&md5=5299f1eb115361b2ab4432737f570240,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85075090413
"Venkatesh, S.S., Ferreira, T., Benonisdottir, S., Rahmioglu, N., Becker, C.M., Granne, I., Zondervan, K.T., Holmes, M.V., Lindgren, C.M., Wittemans, L.B.L.",57211055361;22952881700;57103589500;26040992100;57203504187;9747695400;7003864514;35740512000;57218362371;56899297700;,Obesity and risk of female reproductive conditions: A Mendelian randomisation study,2022,PLoS Medicine,19,2,e1003679,,,,75,10.1371/journal.pmed.1003679,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123974554&doi=10.1371%2fjournal.pmed.1003679&partnerID=40&md5=dc76746c8b489791e9f6eaae748d27d3,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85123974554
"Spiller, W., Davies, N.M., Palmer, T.M.",57204361270;41561133300;16310563500;,Software application profile: Mrrobust - A tool for performing two-sample summary Mendelian randomization analyses,2019,International Journal of Epidemiology,48,3,,664,690,,75,10.1093/ije/dyy195,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072649072&doi=10.1093%2fije%2fdyy195&partnerID=40&md5=fdc87e15aa85999cdf2822dc6116dd9d,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85072649072
"Luo, J., le Cessie, S., van Heemst, D., Noordam, R.",57205457751;7003893668;6602350356;57201961693;,Diet-Derived Circulating Antioxidants and Risk of Coronary Heart Disease: A Mendelian Randomization Study,2021,Journal of the American College of Cardiology,77,1,,45,54,,74,10.1016/j.jacc.2020.10.048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098093820&doi=10.1016%2fj.jacc.2020.10.048&partnerID=40&md5=d014e147057e367294add73ffc7228a4,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85098093820
"Pagoni, P., Dimou, N.L., Murphy, N., Stergiakouli, E.",57200729624;24586876800;7103396991;57210788953;,Using Mendelian randomisation to assess causality in observational studies,2019,Evidence-Based Mental Health,22,2,,67,71,,74,10.1136/ebmental-2019-300085,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064271334&doi=10.1136%2febmental-2019-300085&partnerID=40&md5=ef8ab3229ee15a0e7a6b711b19356d33,Review,Final,"All Open Access, Bronze",Scopus,2-s2.0-85064271334
"Gill, D., Monori, G., Tzoulaki, I., Dehghan, A.",56890453400;57205180006;8703141300;16023891700;,Iron status and risk of stroke: A Mendelian randomization study,2018,Stroke,49,12,,2815,2821,,74,10.1161/STROKEAHA.118.022701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058925678&doi=10.1161%2fSTROKEAHA.118.022701&partnerID=40&md5=60d5a6fb6b9782274de855e581d5e6e3,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85058925678
"Arvanitis, M., Qi, G., Bhatt, D.L., Post, W.S., Chatterjee, N., Battle, A., McEvoy, J.W.",57225458557;57203641000;57207900314;57221279716;7004286059;57194221815;35362533700;,Linear and Nonlinear Mendelian Randomization Analyses of the Association between Diastolic Blood Pressure and Cardiovascular Events: The J-Curve Revisited,2021,Circulation,143,9,,895,906,,73,10.1161/CIRCULATIONAHA.120.049819,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102538765&doi=10.1161%2fCIRCULATIONAHA.120.049819&partnerID=40&md5=0393d0b8dd0c00c989d687796e590029,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85102538765
"Gill, D., Del Greco, F.M., Walker, A.P., Srai, S.K.S., Laffan, M.A., Minelli, C.",56890453400;56151682100;35381383600;23116024600;57194518699;57205551994;,The Effect of Iron Status on Risk of Coronary Artery Disease: A Mendelian Randomization Study - Brief Report,2017,"Arteriosclerosis, Thrombosis, and Vascular Biology",37,9,,1788,1792,,73,10.1161/ATVBAHA.117.309757,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022007039&doi=10.1161%2fATVBAHA.117.309757&partnerID=40&md5=168cea7d3dbf352eebca553d2b189756,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85022007039
"Walker, K.A., Chen, J., Zhang, J., Fornage, M., Yang, Y., Zhou, L., Grams, M.E., Tin, A., Daya, N., Hoogeveen, R.C., Wu, A., Sullivan, K.J., Ganz, P., Zeger, S.L., Gudmundsson, E.F., Emilsson, V., Launer, L.J., Jennings, L.L., Gudnason, V., Chatterjee, N., Gottesman, R.F., Mosley, T.H., Boerwinkle, E., Ballantyne, C.M., Coresh, J.",57193687079;57191840447;57223346000;6602465971;57219658801;57226593849;55882203700;24342527900;55273547100;57205358096;57118712000;57214620932;7102980042;7006338489;55357428800;57216596590;7006392362;57196967599;7003353432;7004286059;7003754268;56425717100;7102087489;7101711066;7005367498;,Large-scale plasma proteomic analysis identifies proteins and pathways associated with dementia risk,2021,Nature Aging,1,5,,473,489,,71,10.1038/s43587-021-00064-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110150927&doi=10.1038%2fs43587-021-00064-0&partnerID=40&md5=929e0c9c385af7304de439a742886c48,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85110150927
"Wootton, R.E., Lawn, R.B., Millard, L.A.C., Davies, N.M., Taylor, A.E., Munafò, M.R., Timpson, N.J., Davis, O.S.P., Davey Smith, G., Haworth, C.M.A.",57192066694;57201447178;55909209600;41561133300;7405888600;7004859481;35355373400;20336924600;35354080500;16042255500;,Evaluation of the causal effects between subjective wellbeing and cardiometabolic health: Mendelian randomisation study,2018,BMJ (Online),362,,k3788,,,,71,10.1136/bmj.k3788,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054099880&doi=10.1136%2fbmj.k3788&partnerID=40&md5=27b3e29418d097ddd8e0f056d1156516,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85054099880
"Yuan, S., Mason, A.M., Carter, P., Burgess, S., Larsson, S.C.",56506115600;44961446200;7201988998;37080302300;7202349296;,"Homocysteine, B vitamins, and cardiovascular disease: a Mendelian randomization study",2021,BMC Medicine,19,1,97,,,,70,10.1186/s12916-021-01977-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104690854&doi=10.1186%2fs12916-021-01977-8&partnerID=40&md5=4aad71a45b755905b2e174c6ba3c3f1a,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85104690854
"Tyrrell, J., Zheng, J., Beaumont, R., Hinton, K., Richardson, T.G., Wood, A.R., Davey Smith, G., Frayling, T.M., Tilling, K.",36149612100;57195956687;57156164500;57221949077;55986639700;36505189800;57220145221;7003962934;57226203691;,Genetic predictors of participation in optional components of UK Biobank,2021,Nature Communications,12,1,886,,,,70,10.1038/s41467-021-21073-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100813483&doi=10.1038%2fs41467-021-21073-y&partnerID=40&md5=a4e4264ab36dec51d595fc1d5ac310eb,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85100813483
"Yuan, Z., Zhu, H., Zeng, P., Yang, S., Sun, S., Yang, C., Liu, J., Zhou, X.",22636598200;57217201499;57200841379;57215371367;55940043600;55580390800;54786571400;55566272600;,Testing and controlling for horizontal pleiotropy with probabilistic Mendelian randomization in transcriptome-wide association studies,2020,Nature Communications,11,1,3861,,,,70,10.1038/s41467-020-17668-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088864578&doi=10.1038%2fs41467-020-17668-6&partnerID=40&md5=6013328b7a9a4552b2a5e05c5eed5c2d,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85088864578
"Yu, Z., Coresh, J., Qi, G., Grams, M., Boerwinkle, E., Snieder, H., Teumer, A., Pattaro, C., Köttgen, A., Chatterjee, N., Tin, A.",57194417705;7005367498;57203641000;55882203700;7102087489;7006990967;57221722501;56375339800;57194234494;7004286059;24342527900;,A bidirectional Mendelian randomization study supports causal effects of kidney function on blood pressure,2020,Kidney International,98,3,,708,716,,70,10.1016/j.kint.2020.04.044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089008659&doi=10.1016%2fj.kint.2020.04.044&partnerID=40&md5=d143127e8caf05954d705a23d7ce2f29,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85089008659
"Polimanti, R., Peterson, R.E., Ong, J.-S., MacGregor, S., Edwards, A.C., Clarke, T.-K., Frank, J., Gerring, Z., Gillespie, N.A., Lind, P.A., Maes, H.H., Martin, N.G., Mbarek, H., Medland, S.E., Streit, F., Agrawal, A., Edenberg, H.J., Kendler, K.S., Lewis, C.M., Sullivan, P.F., Wray, N.R., Gelernter, J., Derks, E.M.",36061883800;15623750600;57190756687;56591946800;14826353700;16309036200;57211853048;57189304687;57209403509;23019149500;35411196500;57195254907;57220380086;34571085600;57218333987;57202063812;7006853081;7006868555;7402975073;7402033718;7006428088;7005602079;57211618283;,Evidence of causal effect of major depression on alcohol dependence: Findings from the psychiatric genomics consortium,2019,Psychological Medicine,49,7,,1218,1226,,70,10.1017/S0033291719000667,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063776914&doi=10.1017%2fS0033291719000667&partnerID=40&md5=2f3214f3b5307fa9e3717ec4b4e233ce,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85063776914
"Ellervik, C., Roselli, C., Christophersen, I.E., Alonso, A., Pietzner, M., Sitlani, C.M., Trompet, S., Arking, D.E., Geelhoed, B., Guo, X., Kleber, M.E., Lin, H.J., Lin, H., Macfarlane, P., Selvin, E., Shaffer, C., Smith, A.V., Verweij, N., Weiss, S., Cappola, A.R., Dörr, M., Gudnason, V., Heckbert, S., Mooijaart, S., März, W., Psaty, B.M., Ridker, P.M., Roden, D., Stott, D.J., Völzke, H., Benjamin, E.J., Delgado, G., Ellinor, P., Homuth, G., Köttgen, A., Jukema, J.W., Lubitz, S.A., Mora, S., Rienstra, M., Rotter, J.I., Shoemaker, M.B., Sotoodehnia, N., Taylor, K.D., Van Der Harst, P., Albert, C.M., Chasman, D.I.",6507805085;57191440168;35169005600;8908137600;56512412800;57208079621;22954837300;57212013993;57192838275;7404330868;34872560400;7405572043;36039863600;56689458300;6602453920;7005154713;56424163100;57193816845;57191160372;6508258134;7005669901;7003353432;57203104717;7801636685;57220877383;35374213400;18535933700;7102884634;13309434700;56662814100;57212852919;57221723771;57217826180;56357082900;57194234494;7005836769;35272809100;56921577600;8858826600;56284453500;43761563200;6506288380;7403523428;6602378288;7005328314;6701612213;,Assessment of the Relationship between Genetic Determinants of Thyroid Function and Atrial Fibrillation: A Mendelian Randomization Study,2019,JAMA Cardiology,4,2,,144,152,,70,10.1001/jamacardio.2018.4635,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060579441&doi=10.1001%2fjamacardio.2018.4635&partnerID=40&md5=463d171cfe1d81fd7d4067016afe44b3,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85060579441
"Luo, J., Xu, Z., Noordam, R., Van Heemst, D., Li-Gao, R.",57205457751;57188826944;57201961693;6602350356;57202561151;,Depression and Inflammatory Bowel Disease: A Bidirectional Two-sample Mendelian Randomization Study,2022,Journal of Crohn's and Colitis,16,4,,633,642,,69,10.1093/ecco-jcc/jjab191,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130001186&doi=10.1093%2fecco-jcc%2fjjab191&partnerID=40&md5=ed368c9507ff8a8f58e3c55af48f3f9a,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85130001186
"Park, S., Lee, S., Kim, Y., Lee, Y., Kang, M.W., Kim, K., Kim, Y.C., Han, S.S., Lee, H., Lee, J.P., Joo, K.W., Lim, C.S., Kim, Y.S., Kim, D.K.",57210030734;57225221734;57202790600;57203798972;57204194328;57210575084;57026583000;35242581200;36554389800;56028990400;7101808967;15019536200;7410205767;23479259100;,Short or long sleep duration and CKD: A mendelian randomization study,2020,Journal of the American Society of Nephrology,31,12,,2937,2947,,69,10.1681/ASN.2020050666,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096884810&doi=10.1681%2fASN.2020050666&partnerID=40&md5=4c7cc9b086a88a520f9048104934b34a,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85096884810
"Johnson, K.E., Siewert, K.M., Klarin, D., Damrauer, S.M., Chang, K.-M., Tsao, P.S., Assimes, T.L., Maxwell, K.N., Voight, B.F.",57200691209;56117355600;55233821300;8158497300;7404878323;7007099290;57219170211;7005540147;10339684700;,The relationship between circulating lipids and breast cancer risk: A Mendelian randomization study,2020,PLoS Medicine,17,9,e1003302,,,,69,10.1371/JOURNAL.PMED.1003302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090889789&doi=10.1371%2fJOURNAL.PMED.1003302&partnerID=40&md5=0b34f2151f399aed6c3d0268acf0f229,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85090889789
"Li, C., Liu, J., Lin, J., Shang, H.",57190945356;57800758900;57218374578;55521148900;,COVID-19 and risk of neurodegenerative disorders: A Mendelian randomization study,2022,Translational Psychiatry,12,1,283,,,,68,10.1038/s41398-022-02052-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134146453&doi=10.1038%2fs41398-022-02052-3&partnerID=40&md5=56c0159c826a591cb98ea6498a62d00c,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85134146453
"McCormick, N., O’Connor, M.J., Yokose, C., Merriman, T.R., Mount, D.B., Leong, A., Choi, H.K.",56150165800;56152368400;57191445625;7003535346;7102049772;57218701946;57216594606;,Assessing the Causal Relationships Between Insulin Resistance and Hyperuricemia and Gout Using Bidirectional Mendelian Randomization,2021,Arthritis and Rheumatology,73,11,,2096,2104,,68,10.1002/art.41779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112753973&doi=10.1002%2fart.41779&partnerID=40&md5=3085be12a5e9109dd0c791874c727117,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85112753973
"Dudbridge, F., Allen, R.J., Sheehan, N.A., Schmidt, A.F., Lee, J.C., Jenkins, R.G., Wain, L.V., Hingorani, A.D., Patel, R.S.",6602743665;58302723400;7006433812;55622055900;57221623857;57052267200;57203296320;7005545809;23985899500;,Adjustment for index event bias in genome-wide association studies of subsequent events,2019,Nature Communications,10,1,1561,,,,68,10.1038/s41467-019-09381-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063992751&doi=10.1038%2fs41467-019-09381-w&partnerID=40&md5=f1cca6b7cdda3f32e83729a5d0e06f5e,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85063992751
"Walker, V.M., Davies, N.M., Hemani, G., Zheng, J., Haycock, P.C., Gaunt, T.R., Smith, G.D., Martin, R.M.",57192428356;41561133300;57207869708;57195956687;35196088100;6603377285;35354080500;55689388800;,Using the MR-base platform to investigate risk factors and drug targets for thousands of phenotypes.,2019,Wellcome Open Research,4,,113,,,,68,10.12688/wellcomeopenres.15334.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072732565&doi=10.12688%2fwellcomeopenres.15334.1&partnerID=40&md5=a84be7116ddd395e285174040bae5733,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85072732565
"Liu, K., Zou, J., Fan, H., Hu, H., You, Z.",57214756731;57217090763;57903550400;57215607384;14038357100;,Causal effects of gut microbiota on diabetic retinopathy: A Mendelian randomization study,2022,Frontiers in Immunology,13,,930318,,,,66,10.3389/fimmu.2022.930318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138631211&doi=10.3389%2ffimmu.2022.930318&partnerID=40&md5=f961f1537d61e01c76dd713533d7b568,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85138631211
"Yuan, S., Gill, D., Giovannucci, E.L., Larsson, S.C.",56506115600;56890453400;57203069058;7202349296;,"Obesity, Type 2 Diabetes, Lifestyle Factors, and Risk of Gallstone Disease: A Mendelian Randomization Investigation",2022,Clinical Gastroenterology and Hepatology,20,3,,e529,e537,,66,10.1016/j.cgh.2020.12.034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108814515&doi=10.1016%2fj.cgh.2020.12.034&partnerID=40&md5=1520612019a70090ff2f43e8884be9af,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85108814515
"Park, S., Lee, S., Kim, Y., Lee, Y., Kang, M.W., Kim, K., Kim, Y.C., Han, S.S., Lee, H., Lee, J.P., Joo, K.W., Lim, C.S., Kim, Y.S., Kim, D.K.",57210030734;57225221734;57202790600;57203798972;57204194328;57210575084;57026583000;35242581200;36554389800;56028990400;7101808967;15019536200;7410205767;23479259100;,Atrial fibrillation and kidney function: A bidirectional Mendelian randomization study,2021,European Heart Journal,42,29,,2816,2823,,66,10.1093/eurheartj/ehab291,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112157709&doi=10.1093%2feurheartj%2fehab291&partnerID=40&md5=ff271cb5a6f72255c665ba5567329ba8,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85112157709
"Lv, W.-Q., Lin, X., Shen, H., Liu, H.-M., Qiu, X., Li, B.-Y., Shen, W.-D., Ge, C.-L., Lv, F.-Y., Shen, J., Xiao, H.-M., Deng, H.-W.",57195593900;57204908384;36126870600;57196314953;57209467179;57209474195;57209475612;57221469722;57221469723;56179933000;36893832900;34568563000;,Human gut microbiome impacts skeletal muscle mass via gut microbial synthesis of the short-chain fatty acid butyrate among healthy menopausal women,2021,"Journal of Cachexia, Sarcopenia and Muscle",12,6,,1860,1870,,65,10.1002/jcsm.12788,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114031766&doi=10.1002%2fjcsm.12788&partnerID=40&md5=5661ead4b47dacf6a4f705f3581b9d6c,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85114031766
"Gill, D., Brewer, C.F., Del Greco M, F., Sivakumaran, P., Bowden, J., Sheehan, N.A., Minelli, C.",56890453400;56959538000;57204091824;57189610401;26321030600;7006433812;57205551994;,Age at menarche and adult body mass index: a Mendelian randomization study,2018,International Journal of Obesity,42,9,,1574,1581,,65,10.1038/s41366-018-0048-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044065423&doi=10.1038%2fs41366-018-0048-7&partnerID=40&md5=2fb4747a1da02b5b93bc62041138d4b1,Article,Final,,Scopus,2-s2.0-85044065423
"Yin, K.-J., Huang, J.-X., Wang, P., Yang, X.-K., Tao, S.-S., Li, H.-M., Ni, J., Pan, H.-F.",57266887800;57266887900;56982050800;55428143500;55923358700;56592013500;55754707000;35234356200;,No Genetic Causal Association Between Periodontitis and Arthritis: A Bidirectional Two-Sample Mendelian Randomization Analysis,2022,Frontiers in Immunology,13,,808832,,,,64,10.3389/fimmu.2022.808832,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124563347&doi=10.3389%2ffimmu.2022.808832&partnerID=40&md5=565833e802a60c8d8d07465f3e4a6ec9,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85124563347
