2020,"Early metabolic features of genetic liability to type 2 diabetes: Cohort study with repeated metabolomics across early life",19355548,"Diabetes Care","43","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,6,1,23,0,23
2020,"Challenges and factors that influencing causal inference and interpretation, based on Mendelian randomization studies",02546450,"Chinese Journal of Epidemiology","41","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,2,23,0,23
2020,"Is there a causal relationship between vitamin D and melanoma risk? A Mendelian randomization study",13652133,"British Journal of Dermatology","182","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,7,6,0,23,0,23
2019,"Sex-specific Mendelian randomization study of genetically predicted insulin and cardiovascular events in the UK Biobank",23993642,"Communications Biology","2","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,2,2,1,23,0,23
2019,"Indoleamine 2,3-dioxygenase and ischemic heart disease: a Mendelian Randomization study",20452322,"Scientific Reports","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,6,1,23,0,23
2019,"Genetically-predicted life-long lowering of low-density lipoprotein cholesterol is associated with decreased frailty: A Mendelian randomization study in UK biobank",23523964,"EBioMedicine","45","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,6,4,2,23,0,23
2019,"Association of Mosaic Loss of Chromosome Y with Lung Cancer Risk and Prognosis in a Chinese Population",15561380,"Journal of Thoracic Oncology","14","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,2,23,0,23
2017,"Association between lipoprotein(a) level and type 2 diabetes: no evidence for a causal role of lipoprotein(a) and insulin",14325233,"Acta Diabetologica","54","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,5,0,23,0,23
2023,"Insights from Mendelian randomization and genetic correlation analyses into the relationship between endometriosis and its comorbidities",14602369,"Human Reproduction Update","29","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,5,22,0,22
2023,"The Association between Circulating Lipids and Female Infertility Risk: A Univariable and Multivariable Mendelian Randomization Analysis",20726643,"Nutrients","15","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,7,22,0,22
2023,"Causal Relationships Between Glycemic Traits and Myopia",15525783,"Investigative Ophthalmology and Visual Science","64","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,22,0,22
2023,"Effect of basal metabolic rate on osteoporosis: A Mendelian randomization study",22962565,"Frontiers in Public Health","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,2,22,0,22
2023,"Causal associations between modifiable risk factors and pancreatitis: A comprehensive Mendelian randomization study",16643224,"Frontiers in Immunology","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,5,22,0,22
2022,"Contributions of obesity to kidney health and disease: insights from Mendelian randomization and the human kidney transcriptomics",17553245,"Cardiovascular Research","118","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,0,22,0,22
2022,"Circulating vitamin C and D concentrations and risk of dental caries and periodontitis: A Mendelian randomization study",1600051X,"Journal of Clinical Periodontology","49","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,1,22,0,22
2022,"Omega-6 fatty acids and the risk of cardiovascular disease: insights from a systematic review and meta-analysis of randomized controlled trials and a Mendelian randomization study",18969151,"Archives of Medical Science","18","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,7,5,22,0,22
2021,"Genetic and phenotypic analysis of the causal relationship between aging and COVID-19",2730664X,"Communications Medicine","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,6,2,22,0,22
2021,"Evaluation of glycemic traits in susceptibility to COVID-19 risk: a Mendelian randomization study",17417015,"BMC Medicine","19","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,2,1,22,0,22
2021,"Rheumatoid Arthritis and Cardio-Cerebrovascular Disease: A Mendelian Randomization Study",16648021,"Frontiers in Genetics","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,0,22,0,22
2021,"Physical activity and the risk of rheumatoid arthritis: Evidence from meta-analysis and Mendelian randomization",14643685,"International Journal of Epidemiology","50","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,4,0,22,0,22
2021,"Telomere length and metabolic syndrome traits: A Mendelian randomisation study",14749726,"Aging Cell","20","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,4,22,0,22
2021,"Mendelian randomization highlights insomnia as a risk factor for pain diagnoses",15509109,"Sleep","44","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,5,0,22,0,22
2021,"Causal effects of plasma lipids on the risk of atrial fibrillation: A multivariable mendelian randomization study",15903729,"Nutrition, Metabolism and Cardiovascular Diseases","31","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,7,3,22,0,22
2021,"Genetically predicted physical activity levels are associated with lower colorectal cancer risk: a Mendelian randomisation study",15321827,"British Journal of Cancer","124","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,2,22,0,22
2021,"Genetically raised circulating bilirubin levels and risk of ten cancers: A mendelian randomization study",20734409,"Cells","10","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,9,3,22,0,22
2020,"Causal Evaluation of Laboratory Markers in Type 2 Diabetes on Cancer and Vascular Diseases Using Various Mendelian Randomization Tools",16648021,"Frontiers in Genetics","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,4,22,0,22
2020,"Human genetic determinants of the gut microbiome and their associations with health and disease: a phenome-wide association study",20452322,"Scientific Reports","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2,6,0,22,0,22
2020,"Glycemic traits and Alzheimer’s disease: a Mendelian randomization study",19454589,"Aging","12","22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,6,2,22,0,22
2020,"Causal association between periodontitis and risk of rheumatoid arthritis and systemic lupus erythematosus: a Mendelian randomization",14351250,"Zeitschrift fur Rheumatologie","79","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,7,0,22,0,22
2020,"Waist circumference increases risk of coronary heart disease: Evidence from a Mendelian randomization study",23249269,"Molecular Genetics and Genomic Medicine","8","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,8,0,22,0,22
2020,"Sarcopenia-related traits and coronary artery disease: A bi-directional mendelian randomization study",19454589,"Aging","12","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,6,2,22,0,22
2019,"Age at menopause and lung function: A Mendelian randomisation study",13993003,"European Respiratory Journal","54","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,8,2,0,22,0,22
2019,"Uric acid level, gout and bone mineral density: A Mendelian randomization study",13652362,"European Journal of Clinical Investigation","49","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,7,2,22,0,22
2018,"Assessing the causal association between 25-hydroxyvitamin D and the risk of oral and oropharyngeal cancer using Mendelian randomization",10970215,"International Journal of Cancer","143","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,5,4,2,22,0,22
2018,"High-sensitivity C-reactive protein, low-grade systemic inflammation and type 2 diabetes mellitus: A two-sample Mendelian randomization study",15903729,"Nutrition, Metabolism and Cardiovascular Diseases","28","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,7,2,3,0,22,0,22
2017,"Do regional brain volumes and major depressive disorder share genetic architecture? A study of Generation Scotland (n = 19762), UK Biobank (n = 24048) and the English Longitudinal Study of Ageing (n = 5766)",21583188,"Translational Psychiatry","7","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,3,3,3,2,0,22,0,22
2023,"A Large Genetic Causal Analysis of the Gut Microbiota and Urological Cancers: A Bidirectional Mendelian Randomization Study",20726643,"Nutrients","15","18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21,0,21
2023,"A novel penalized inverse-variance weighted estimator for Mendelian randomization with applications to COVID-19 outcomes",15410420,"Biometrics","79","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,4,21,0,21
2023,"Evaluating the role of non-alcoholic fatty liver disease in cardiovascular diseases and type 2 diabetes: A Mendelian randomization study in Europeans and East Asians",14643685,"International Journal of Epidemiology","52","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,21,0,21
2023,"Causal association between metabolic syndrome and cholelithiasis: a Mendelian randomization study",16642392,"Frontiers in Endocrinology","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21,0,21
2023,"Causal Relationships of General and Abdominal Adiposity on Osteoarthritis: A Two-Sample Mendelian Randomization Study",20770383,"Journal of Clinical Medicine","12","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,4,21,0,21
2022,"Causal relationships between metabolic-associated fatty liver disease and iron status: Two-sample Mendelian randomization",14783231,"Liver International","42","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,3,21,0,21
2022,"A proteogenomic signature of age-related macular degeneration in blood",20411723,"Nature Communications","13","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,4,21,0,21
2022,"Mendelian Randomization Indicates a Causal Role for Omega-3 Fatty Acids in Inflammatory Bowel Disease",14220067,"International Journal of Molecular Sciences","23","22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,3,21,0,21
2022,"Are neurodegenerative diseases associated with an increased risk of inflammatory bowel disease? A two-sample Mendelian randomization study",16643224,"Frontiers in Immunology","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,4,21,0,21
2022,"Environmental risk factors in multiple sclerosis: bridging Mendelian randomization and observational studies",14321459,"Journal of Neurology","269","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,11,0,21,0,21
2022,"Genetically Predicted Circulating Levels of Cytokines and the Risk of Cancer",16643224,"Frontiers in Immunology","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,3,21,0,21
2022,"Appraising the Effect of Potential Risk Factors on Thyroid Cancer: A Mendelian Randomization Study",19457197,"Journal of Clinical Endocrinology and Metabolism","107","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,21,0,21
2022,"Causal relationship between gut microbiota and serum vitamin D: evidence from genetic correlation and Mendelian randomization study",14765640,"European Journal of Clinical Nutrition","76","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,5,21,0,21
2022,"Genome-wide association study of occupational attainment as a proxy for cognitive reserve",14602156,"Brain","145","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,6,21,0,21
2022,"Interleukins and rheumatoid arthritis: bi-directional Mendelian randomization investigation",1532866X,"Seminars in Arthritis and Rheumatism","53","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,3,21,0,21
2022,"Inflammatory Cytokines and Risk of Ischemic Stroke: A Mendelian Randomization Study",16639812,"Frontiers in Pharmacology","12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,5,21,0,21
2021,"Observational and genetic evidence highlight the association of human sleep behaviors with the incidence of fracture",23993642,"Communications Biology","4","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,1,21,0,21
2021,"Effects of selenium on coronary artery disease, type 2 diabetes and their risk factors: a Mendelian randomization study",14765640,"European Journal of Clinical Nutrition","75","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4,4,21,0,21
2021,"Genetically proxied morning chronotype was associated with a reduced risk of prostate cancer",15509109,"Sleep","44","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,3,21,0,21
2021,"Mendelian randomization: The basic principles, methods and limitations",16722531,"Chinese Journal of Evidence-Based Medicine","21","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,2,21,0,21
2021,"Coffee consumption and cardiovascular diseases: A mendelian randomization study",20726643,"Nutrients","13","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,8,1,21,0,21
2021,"Causal effects of positive affect, life satisfaction, depressive symptoms, and neuroticism on kidney function: A mendelian randomization study",15333450,"Journal of the American Society of Nephrology","32","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,3,21,0,21
2021,"Association between genetically predicted telomere length and facial skin aging in the UK Biobank: a Mendelian randomization study",25092723,"GeroScience","43","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,8,0,21,0,21
2021,"Assessment and visualization of phenome-wide causal relationships using genetic data: an application to dental caries and periodontitis",14765438,"European Journal of Human Genetics","29","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,6,1,21,0,21
2021,"Genetically increased telomere length and aging-related traits in the U.K. Biobank",1758535X,"Journals of Gerontology - Series A Biological Sciences and Medical Sciences","76","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,12,0,21,0,21
2021,"Relationship between serum 25(Oh)d and depression: Causal evidence from a bi-directional mendelian randomization study",20726643,"Nutrients","13","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,9,6,1,21,0,21
2021,"Integrating family-based and mendelian randomization designs",21571422,"Cold Spring Harbor Perspectives in Medicine","11","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,4,4,1,21,0,21
2020,"Association of physical activity and sedentary behavior with type 2 diabetes and glycemic traits: A two-sample Mendelian randomization study",20524897,"BMJ Open Diabetes Research and Care","8","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,5,1,21,0,21
2020,"Polygenic evidence and overlapped brain functional connectivities for the association between chronic pain and sleep disturbance",21583188,"Translational Psychiatry","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,7,0,21,0,21
2020,"Sleep Duration and Stroke: A Mendelian Randomization Study",16642295,"Frontiers in Neurology","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,1,3,21,0,21
2020,"Early pubertal maturation and risk of childhood asthma: A Mendelian randomization and longitudinal study",13989995,"Allergy: European Journal of Allergy and Clinical Immunology","75","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,3,1,21,0,21
2020,"Negative Effects of Age at Menarche on Risk of Cardiometabolic Diseases in Adulthood: A Mendelian Randomization Study",19457197,"Journal of Clinical Endocrinology and Metabolism","105","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,3,0,21,0,21
2019,"The genetic relationship between female reproductive traits and six psychiatric disorders",20452322,"Scientific Reports","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,5,2,21,0,21
2019,"The role of linoleic acid in asthma and inflammatory markers: A Mendelian randomization study",19383207,"American Journal of Clinical Nutrition","110","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,6,2,1,21,0,21
2019,"Mendelian randomization evaluation of causal effects of fibrinogen on incident coronary heart disease",19326203,"PLoS ONE","14","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3,4,0,21,0,21
2018,"The Genetic Link Between Diabetes and Atherosclerosis",0828282X,"Canadian Journal of Cardiology","34","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,6,1,21,0,21
2016,"Birth weight and risk of ischemic heart disease: A Mendelian randomization study",20452322,"Scientific Reports","6","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,5,2,4,0,0,21,0,21
2023,"Investigating Associations of Omega-3 Fatty Acids, Lung Function Decline, and Airway Obstruction",15354970,"American Journal of Respiratory and Critical Care Medicine","208","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,8,20,0,20
2023,"Associations of Homocysteine, Folate, and Vitamin B12 with Osteoarthritis: A Mendelian Randomization Study",20726643,"Nutrients","15","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,20,0,20
2023,"Causal associations of obstructive sleep apnea with cardiovascular disease: a Mendelian randomization study",15509109,"Sleep","46","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,4,20,0,20
2023,"Causal effects of systemic inflammatory regulators on chronic kidney diseases and renal function: a bidirectional Mendelian randomization study",16643224,"Frontiers in Immunology","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3,20,0,20
2023,"Association between gut microbiota and primary ovarian insufficiency: a bidirectional two-sample Mendelian randomization study",16642392,"Frontiers in Endocrinology","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,20,0,20
2023,"The associations between gut microbiota and chronic respiratory diseases: a Mendelian randomization study",1664302X,"Frontiers in Microbiology","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,20,0,20
2023,"Serum 25-Hydroxyvitamin D and Cancer Risk: A Systematic Review of Mendelian Randomization Studies",20726643,"Nutrients","15","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,20,0,20
2023,"Circulating Proteins Influencing Psychiatric Disease: A Mendelian Randomization Study",18732402,"Biological Psychiatry","93","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,5,20,0,20
2022,"Association of autoimmune diseases with Alzheimer's disease: A mendelian randomization study",18791379,"Journal of Psychiatric Research","155","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,4,20,0,20
2022,"Role of Inflammatory Factors in Mediating the Effect of Lipids on Nonalcoholic Fatty Liver Disease: A Two-Step, Multivariable Mendelian Randomization Study",20726643,"Nutrients","14","20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,20,0,20
2022,"Learning to eat from others: Does nutritional information acquired from peers affect nutrition intake?",07430167,"Journal of Rural Studies","95","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,13,1,20,0,20
2022,"Associations between insomnia and pregnancy and perinatal outcomes: Evidence from mendelian randomization and multivariable regression analyses",15491676,"PLoS Medicine","19","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,4,20,0,20
2022,"The relationship between blood pressure and risk of atrial fibrillation: A Mendelian randomization study",20474881,"European Journal of Preventive Cardiology","29","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,2,5,20,0,20
2022,"The Effects of Fatty Acids on Inflammatory Bowel Disease: A Two-Sample Mendelian Randomization Study",20726643,"Nutrients","14","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,12,1,20,0,20
2022,"Mendelian randomization highlights the causal association of obesity with periodontal diseases",1600051X,"Journal of Clinical Periodontology","49","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,3,20,0,20
2022,"Circulating Polyunsaturated Fatty Acids and COVID-19: A Prospective Cohort Study and Mendelian Randomization Analysis",2296858X,"Frontiers in Medicine","9","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,1,20,0,20
2022,"Body Mass Index, Interleukin-6 Signaling and Multiple Sclerosis: A Mendelian Randomization Study",16643224,"Frontiers in Immunology","13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,2,20,0,20
2022,"Likelihood-based Mendelian randomization analysis with automated instrument selection and horizontal pleiotropic modeling",23752548,"Science Advances","8","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,6,20,0,20
2022,"A bi-directional Mendelian randomization study of the sarcopenia-related traits and osteoporosis",19454589,"Aging","14","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,20,0,20
2021,"Thyroid Function and the Risk of Alzheimer's Disease: A Mendelian Randomization Study",15579077,"Thyroid","31","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,1,20,0,20
2021,"Mendelian randomisation highlights hypothyroidism as a causal determinant of idiopathic pulmonary fibrosis",23523964,"eBioMedicine","73","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,2,20,0,20
2021,"Causal effect of sex hormone-binding globulin and testosterone on coronary heart disease: A multivariable and network Mendelian randomization analysis",18741754,"International Journal of Cardiology","339","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,0,20,0,20
2021,"The blood metabolome of incident kidney cancer: A case-control study nested within the MetKid consortium",15491676,"PLoS Medicine","18","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,20,0,20
2021,"Review of Mendelian Randomization Studies on Ovarian Cancer",2234943X,"Frontiers in Oncology","11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,3,20,0,20
2021,"Stratification of Type 2 Diabetes by Age of Diagnosis in the UK Biobank Reveals Subgroup-Specific Genetic Associations and Causal Risk Profiles",1939327X,"Diabetes","70","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,2,20,0,20
2021,"Birth weight is positively associated with adult osteoporosis risk: observational and Mendelian randomization studies",15234681,"Journal of Bone and Mineral Research","36","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,7,2,20,0,20
2021,"Circulating levels of testosterone, sex hormone binding globulin and colorectal cancer risk: Observational and mendelian randomization analyses",15387755,"Cancer Epidemiology Biomarkers and Prevention","30","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,1,20,0,20
2021,"Habitual coffee intake and plasma lipid profile: Evidence from UK Biobank",15321983,"Clinical Nutrition","40","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,2,20,0,20
2021,"Higher tea consumption is associated with decreased risk of small vessel stroke",15321983,"Clinical Nutrition","40","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,3,1,20,0,20
2020,"The impact of growth differentiation factor 15 on the risk of cardiovascular diseases: two-sample Mendelian randomization study",14712261,"BMC Cardiovascular Disorders","20","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,2,5,0,20,0,20
2020,"Genetic overlap between psychotic experiences in the community across age and with psychiatric disorders",21583188,"Translational Psychiatry","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,5,3,2,20,0,20
2020,"Genetic evidence that higher central adiposity causes gastro-oesophageal reflux disease: A Mendelian randomization study",14643685,"International Journal of Epidemiology","49","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,4,0,20,0,20
2020,"Impact of genetically predicted red blood cell traits on venous thromboembolism: Multivariable mendelian randomization study using uk biobank",20479980,"Journal of the American Heart Association","9","14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4,3,20,0,20
2020,"Relationship between birth weight and chronic kidney disease: Evidence from systematics review and two-sample Mendelian randomization analysis",14602083,"Human Molecular Genetics","29","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,6,5,0,20,0,20
2020,"Genetic predisposition to smoking is associated with risk of rheumatoid arthritis: A Mendelian randomization study",14786362,"Arthritis Research and Therapy","22","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,7,3,0,20,0,20
2020,"Ivy: Instrumental Variable Synthesis for Causal Inference",26403498,"Proceedings of Machine Learning Research","108","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,8,1,20,0,20
2019,"Health effects associated with serum calcium concentrations: evidence from MR-PheWAS analysis in UK Biobank",14332965,"Osteoporosis International","30","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,1,2,2,20,0,20
2018,"Investigating the possible causal association of coffee consumption with osteoarthritis risk using a Mendelian randomization analysis",14349949,"Clinical Rheumatology","37","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,5,1,20,0,20
2017,"Age at Menarche and Time Spent in Education: A Mendelian Randomization Study",15733297,"Behavior Genetics","47","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,2,4,2,1,20,0,20
2017,"Bone mineral density and risk of type 2 diabetes and coronary heart disease: A Mendelian randomization study",2398502X,"Wellcome Open Research","2","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,5,1,3,2,0,20,0,20
